Horizon_N,p_0.9,p_0.95,p_0.98,p_0.99
42,1.1972515182562034,11.598222130000556,42.80506679544931,65.56592205741435
43,1.077526366430583,11.018311023500528,41.94896545954032,64.91026283684022
44,0.9697737297875246,10.467395472325501,41.10998615034951,64.26116020847181
45,0.8727963568087723,9.944025698709225,40.28778642734252,63.618548606387094
46,0.7855167211278951,9.446824413773763,39.48203069879567,62.98236312032323
47,0.7069650490151056,8.974483193085076,38.692390084819756,62.35253948912
48,0.636268544113595,8.52575903343082,37.91854228312336,61.729014094228795
49,0.5726416897022355,8.09947108175928,37.160171437460896,61.1117239532865
50,0.5153775207320119,7.694497527671315,36.41696800871168,60.50060671375363
51,0.4638397686588108,7.30977265128775,35.68862864853744,59.895600646616096
52,0.41745579179292974,6.944284018723361,34.97485607556669,59.29664464014994
53,0.37571021261363674,6.597069817787194,34.275358954055356,58.703678193748445
54,0.33813919135227305,6.267216326897833,33.58985177497425,58.11664141181095
55,0.30432527221704575,5.953855510552941,32.91805473947476,57.535474997692845
56,0.2738927449953412,5.656162735025293,32.259693644685264,56.96012024771592
57,0.24650347049580712,5.3733545982740285,31.61449977179156,56.390519045238754
58,0.2218531234462264,5.104686868360327,30.98220977635573,55.826613854786366
59,0.19966781110160375,4.84945252494231,30.362565580828615,55.26834771623851
60,0.17970102999144338,4.606979898695195,29.75531426921204,54.71566423907612
61,0.16173092699229905,4.376630903760435,29.160207983827803,54.16850759668536
62,0.14555783429306915,4.157799358572413,28.57700382415124,53.6268225207185
63,0.13100205086376224,3.949909390643792,28.00546374766822,53.09055429551132
64,0.11790184577738602,3.752413921111602,27.44535447271485,52.5596487525562
65,0.1061116611996474,3.5647932250560217,26.896447383260558,52.03405226503064
66,0.09550049507968268,3.3865535638032207,26.358518435595347,51.51371174238033
67,0.08595044557171441,3.2172258856130593,25.831348066883436,50.998574624956525
68,0.07735540101454297,3.0563645913324065,25.314721105545768,50.48858887870696
69,0.06961986091308868,2.903546361765786,24.80842668343485,49.98370298991989
70,0.06265787482177981,2.7583690436774964,24.31225814976615,49.483865960020694
71,0.05639208733960183,2.6204505914936216,23.82601298677083,48.98902730042049
72,0.05075287860564165,2.4894280619189404,23.349492727035415,48.49913702741628
73,0.04567759074507749,2.3649566588229933,22.882502872494705,48.01414565714212
74,0.04110983167056974,2.2467088258818437,22.42485281504481,47.53400420057069
75,0.03699884850351277,2.134373384587751,21.976355758743914,47.05866415856499
76,0.03329896365316149,2.0276547153583633,21.536828643569034,46.58807751697934
77,0.02996906728784534,1.926271979590445,21.106092070697656,46.122196741809546
78,0.02697216055906081,1.829958380610923,20.683970229283698,45.66097477439145
79,0.02427494450315473,1.7384604615803767,20.270290824698026,45.20436502664754
80,0.021847450052839255,1.651537438501358,19.864885008204062,44.75232137638106
81,0.01966270504755533,1.5689605665762898,19.46758730803998,44.304798162617246
82,0.017696434542799795,1.4905125382474753,19.078235561879183,43.86175018099108
83,0.01592679108851982,1.4159869113351014,18.6966708506416,43.423132679181165
84,0.014334111979667837,1.3451875657683463,18.322737433628767,42.988901352389355
85,0.012900700781701054,1.2779281874799289,17.95628268495619,42.55901233886546
86,0.011610630703530949,1.2140317781059324,17.59715703125707,42.1334222154768
87,0.010449567633177854,1.1533301892006358,17.245213890631923,41.71208799332204
88,0.009404610869860068,1.0956636797406039,16.900309612819285,41.294967113388815
89,0.008464149782874063,1.0408804957535738,16.562303420562902,40.88201744225493
90,0.007617734804586657,0.988836470965895,16.23105735215164,40.473197267832376
91,0.006855961324127991,0.9393946474176,15.906436205108609,40.068465295154056
92,0.006170365191715192,0.8924249150467202,15.588307481006435,39.66778064220251
93,0.005553328672543672,0.8478036692943841,15.276541331386309,39.27110283578049
94,0.004997995805289306,0.8054134858296649,14.971010504758581,38.87839180742268
95,0.004498196224760375,0.7651428115381815,14.671590294663408,38.489607889348456
96,0.004048376602284337,0.7268856709612724,14.37815848877014,38.104711810454965
97,0.0036435389420559038,0.6905413874132088,14.090595318994739,37.72366469235042
98,0.003279185047850314,0.6560143180425483,13.808783412614842,37.34642804542692
99,0.0029512665430652825,0.6232136021404209,13.532607744362545,36.97296376497265
100,0.002656139888758754,0.5920529220333998,13.261955589475294,36.60323412732292
101,0.002390525899882879,0.5624502759317297,12.996716477685787,36.23720178604969
102,0.002151473309894591,0.5343277621351432,12.736782148132072,35.874829768189194
103,0.001936325978905132,0.5076113740283861,12.48204650516943,35.5160814705073
104,0.0017426933810146187,0.4822308053269667,12.232405575066043,35.16092065580222
105,0.001568424042913157,0.4581192650606184,11.987757463564721,34.8093114492442
106,0.0014115816386218413,0.43521330180758744,11.748002314293426,34.461218334751756
107,0.0012704234747596573,0.41345263671720806,11.513042268007558,34.11660615140424
108,0.0011433811272836916,0.3927800048813476,11.282781422647407,33.7754400898902
109,0.0010290430145553225,0.3731410046372802,11.057125794194459,33.437685688991294
110,0.0009261387130997901,0.3544839544054162,10.835983278310568,33.10330883210138
111,0.0008335248417898111,0.33675975668514535,10.619263612744358,32.77227574378037
112,0.0007501723576108301,0.3199217688508881,10.40687834048947,32.444552986342565
113,0.0006751551218497471,0.30392568040834367,10.198740773679681,32.12010745647914
114,0.0006076396096647723,0.28872939638792644,9.994765958206086,31.79890638191435
115,0.0005468756486982952,0.2742929265685301,9.794870639041964,31.4809173180952
116,0.0004921880838284657,0.26057828024010365,9.598973226261124,31.16610814491425
117,0.00044296927544561915,0.24754936622809845,9.406993761735901,30.854447063465106
118,0.0003986723479010572,0.23517189791669352,9.218853886501185,30.54590259283046
119,0.0003588051131109515,0.2234133030208588,9.03447680877116,30.240443566902155
120,0.00032292460179985635,0.21224263786981584,8.853787272595737,29.93803913123313
121,0.00029063214161987076,0.20163050597632506,8.676711527143823,29.6386587399208
122,0.00026156892745788366,0.1915489806775088,8.503177296600946,29.34227215252159
123,0.00023541203471209531,0.18197153164363336,8.333113750668925,29.048849430996377
124,0.0002118708312408858,0.17287295506145167,8.166451475655547,28.75836093668641
125,0.0001906837481167972,0.16422930730837906,8.003122446142436,28.470777327319546
126,0.0001716153733051175,0.15601784194296012,7.843059997219588,28.18606955404635
127,0.00015445383597460574,0.1482169498458121,7.686198797275195,27.904208858505886
128,0.00013900845237714516,0.1408061023535215,7.532474821329692,27.625166769920828
129,0.00012510760713943067,0.13376579723584542,7.381825324903097,27.34891510222162
130,0.00011259684642548759,0.12707750737405313,7.234188818405035,27.075425951199406
131,0.00010133716178293883,0.12072363200535047,7.089505042036935,26.80467169168741
132,9.120344560464495e-05,0.11468745040508295,6.947714941196197,26.536624974770533
133,8.208310104418046e-05,0.1089530778848288,6.808760642372272,26.27125872502283
134,7.387479093976242e-05,0.10350542399058735,6.672585429524826,26.008546137772605
135,6.648731184578618e-05,0.09833015279105799,6.53913372093433,25.748460676394874
136,5.983858066120756e-05,0.09341364515150508,6.4083510465156435,25.49097606963093
137,5.385472259508681e-05,0.08874296289392981,6.28018402558533,25.236066308934618
138,4.8469250335578126e-05,0.08430581474923332,6.154580345073624,24.98370564584527
139,4.3622325302020317e-05,0.08009052401177165,6.0314887381721505,24.733868589386816
140,3.9260092771818284e-05,0.07608599781118307,5.910858963408708,24.486529903492947
141,3.5334083494636454e-05,0.07228169792062392,5.7926417841405335,24.24166460445802
142,3.1800675145172814e-05,0.0686676130245927,5.676788948457723,23.999247958413438
143,2.8620607630655532e-05,0.06523423237336307,5.5632531694885685,23.759255478829303
144,2.5758546867589976e-05,0.061972520754694914,5.4519881060987965,23.521662924041014
145,2.3182692180830983e-05,0.05887389471696017,5.342948343976821,23.2864462948006
146,2.0864422962747883e-05,0.05593019998111216,5.236089377097284,23.053581831852593
147,1.8777980666473096e-05,0.053133689982056545,5.131367589555339,22.823046013534068
148,1.6900182599825787e-05,0.05047700548295372,5.028740237764231,22.59481555339873
149,1.5210164339843209e-05,0.047953155208806025,4.928165433008947,22.36886739786474
150,1.368914790585889e-05,0.04555549744836572,4.829602124348767,22.14517872388609
151,1.2320233115273e-05,0.04327772257594743,4.733010081861792,21.92372693664723
152,1.1088209803745699e-05,0.04111383644715006,4.638349880224556,21.704489667280757
153,9.97938882337113e-06,0.03905814462479256,4.5455828826200655,21.48744477060795
154,8.981449941034017e-06,0.037105237393552926,4.454671224967663,21.27257032290187
155,8.083304946930616e-06,0.03524997552387528,4.36557780046831,21.05984461967285
156,7.274974452237554e-06,0.033487476747681516,4.278266244458944,20.849246173476125
157,6.547477007013799e-06,0.03181310291029744,4.1927009195697655,20.64075371174136
158,5.892729306312419e-06,0.030222447764782563,4.108846901178369,20.43434617462395
159,5.303456375681178e-06,0.028711325376543438,4.026669963154802,20.23000271287771
160,4.77311073811306e-06,0.027275759107716263,3.9461365638917063,20.02770268574893
161,4.295799664301755e-06,0.025911971152330446,3.867213832613872,19.827425658891443
162,3.866219697871579e-06,0.024616372594713925,3.7898695559615945,19.62915140230253
163,3.4795977280844207e-06,0.023385553964978226,3.7140721648423622,19.432859888279502
164,3.131637955275979e-06,0.022216276266729316,3.6397907215455154,19.238531289396708
165,2.818474159748381e-06,0.021105462453392846,3.5669949071146045,19.04614597650274
166,2.536626743773543e-06,0.020050189330723205,3.495655008972313,18.85568451673771
167,2.282964069396189e-06,0.019047679864187043,3.425741908792866,18.667127671570334
168,2.05466766245657e-06,0.01809529587097769,3.357227070617009,18.48045639485463
