Trajectory Length (N),Step Accuracy (p),Success Probability
45,0.9,0.008727963568087723
45,0.95,0.09944025698709225
45,0.99,0.6361854860638709
46,0.8,3.484491437270419e-05
46,0.9,0.00785516721127895
46,0.95,0.09446824413773763
46,0.99,0.6298236312032323
47,0.8,2.7875931498163353e-05
47,0.9,0.007069650490151055
47,0.95,0.08974483193085075
47,0.99,0.6235253948912
48,0.8,2.2300745198530684e-05
48,0.9,0.00636268544113595
48,0.95,0.0852575903343082
48,0.99,0.617290140942288
49,0.8,1.7840596158824548e-05
49,0.9,0.005726416897022355
49,0.95,0.0809947108175928
49,0.99,0.611117239532865
50,0.8,1.4272476927059638e-05
50,0.9,0.00515377520732012
50,0.95,0.07694497527671315
50,0.99,0.6050060671375364
