Horizon,Unverified_95,Unverified_98,Unverified_99,Verified_98_v70,Verified_98_v90
26,0.26352009446574204,0.5913954351833187,0.7700431458051551,0.8551572742547817,0.9492794371096909
27,0.2503440897424549,0.5795675264796523,0.7623427143471035,0.850026330609253,0.9473808782354715
28,0.23782688525533216,0.5679761759500592,0.7547192872036326,0.8449261726255975,0.9454861164790005
29,0.22593554099256555,0.5566166524310581,0.7471720943315961,0.8398566155898439,0.9435951442460425
30,0.21463876394293727,0.5454843193824369,0.7397003733882802,0.8348174758963048,0.9417079539575505
31,0.2039068257457904,0.5345746329947881,0.7323033696543975,0.829808571040927,0.9398245380496354
32,0.19371148445850087,0.5238831403348924,0.7249803359578534,0.8248297196146814,0.9379448889735361
33,0.18402591023557582,0.5134054775281945,0.7177305325982749,0.8198807412969934,0.9360689991955891
34,0.174824614723797,0.5031373679776306,0.7105532272722921,0.8149614568492114,0.9341968611971978
35,0.16608338398760716,0.493074620618078,0.7034476949995692,0.8100716881081161,0.9323284674748035
36,0.1577792147882268,0.48321312820571644,0.6964132180495735,0.8052112579794674,0.9304638105398538
37,0.14989025404881545,0.4735488656416021,0.6894490858690777,0.8003799904315906,0.9286028829187741
38,0.14239574134637467,0.46407788832877,0.682554595010387,0.795577710489001,0.9267456771529365
39,0.13527595427905592,0.45479633056219465,0.6757290490602831,0.790804244226067,0.9248921857986306
40,0.12851215656510312,0.44570040395095073,0.6689717585696803,0.7860594187607106,0.9230424014270334
41,0.12208654873684796,0.4367863958719317,0.6622820409839835,0.7813430622481463,0.9211963166241793
42,0.11598222130000556,0.42805066795449304,0.6556592205741436,0.7766550038746575,0.919353923990931
43,0.11018311023500528,0.4194896545954032,0.6491026283684022,0.7719950738514095,0.9175152161429492
44,0.10467395472325501,0.41109986150349515,0.6426116020847181,0.767363103408301,0.9156801857106632
45,0.09944025698709225,0.4028778642734252,0.6361854860638709,0.7627589247878512,0.9138488253392419
46,0.09446824413773763,0.39482030698795667,0.6298236312032323,0.7581823712391241,0.9120211276885635
47,0.08974483193085075,0.38692390084819756,0.6235253948912,0.7536332770116894,0.9101970854331863
48,0.0852575903343082,0.3791854228312336,0.617290140942288,0.7491114773496192,0.9083766912623199
49,0.0809947108175928,0.3716017143746089,0.611117239532865,0.7446168084855216,0.9065599378797953
50,0.07694497527671315,0.36416968008711675,0.6050060671375364,0.7401491076346084,0.9047468180040357
51,0.07309772651287749,0.3568862864853744,0.598956006466161,0.7357082129888007,0.9029373243680276
52,0.06944284018723361,0.3497485607556669,0.5929664464014994,0.731293963710868,0.9011314497192916
53,0.06597069817787193,0.34275358954055357,0.5870367819374844,0.7269061999286027,0.899329186819853
